Gas,P_D_bar,Material,V_D_m3,W_g_kg,W_m_kg,W_d_kg,DeltaV_m_s,Costo_€
H2,20.575757575757574,Al7075T6,0.22375529602148195,0.3744343535238958,4.312352194505327,4.686786548029223,167.0500343813295,28.120719288175337
H2,20.575757575757574,Acero,0.22375529602148195,0.3744343535238958,10.473951504447992,10.848385857971888,166.3937495182384,48.817736360873496
H2,20.575757575757574,Titanio6AL4V,0.22375529602148195,0.3744343535238958,3.11179948213468,3.486233835658576,167.17851114320973,104.58701506975729
H2,20.727272727272727,Al7075T6,0.21955804792503697,0.3701161640340016,4.262619701351899,4.632735865385901,167.05581435051778,27.796415192315408
H2,20.727272727272727,Acero,0.21955804792503697,0.3701161640340016,10.353159950792426,10.723276114826428,166.40702390174982,48.25474251671893
H2,20.727272727272727,Titanio6AL4V,0.21955804792503697,0.3701161640340016,3.075912444281583,3.4460286083155847,167.18281711425175,103.38085824946754
H2,20.87878787878788,Al7075T6,0.21551536613669162,0.3659569945952912,4.214718638622094,4.5806756332173855,167.06138184704182,27.484053799304313
H2,20.87878787878788,Acero,0.21551536613669162,0.3659569945952912,10.236816622276082,10.602773616871374,166.41981145123654,47.712481275921185
H2,20.87878787878788,Titanio6AL4V,0.21551536613669162,0.3659569945952912,3.0413469692291883,3.4073039638244795,167.18696472501284,102.21911891473438
H2,21.03030303030303,Al7075T6,0.21161886702013594,0.36194822000158916,4.168549670006544,4.530497890008133,167.06674837524756,27.1829873400488
H2,21.03030303030303,Acero,0.21161886702013594,0.36194822000158916,10.124680248325504,10.486628468327092,166.4321384661733,47.18982810747192
H2,21.03030303030303,Titanio6AL4V,0.21161886702013594,0.36194822000158916,3.0080313757552566,3.369979595756846,167.190962553753,101.09938787270538
H2,21.181818181818183,Al7075T6,0.2078607624735166,0.3580818277411744,4.12402051558441,4.482102343325584,167.07192462366885,26.892614059953505
H2,21.181818181818183,Acero,0.2078607624735166,0.3580818277411744,10.016526697104482,10.374608524845655,166.4440293852285,46.68573836180545
H2,21.181818181818183,Titanio6AL4V,0.2078607624735166,0.3580818277411744,2.9758990745375473,3.333980902278722,167.19481857015083,100.01942706836165
H2,21.333333333333336,Al7075T6,0.20423380797214655,0.354350364542369,4.081045336190093,4.435395700732462,167.07692053607917,26.612374204394772
H2,21.333333333333336,Acero,0.20423380797214655,0.354350364542369,9.91214748024818,10.26649784479055,166.45550694798013,46.199240301557474
H2,21.333333333333336,Titanio6AL4V,0.20423380797214655,0.354350364542369,2.944888123911976,3.299238488454345,167.19854018833126,98.97715465363035
